id,name,productCount,subtreeProductCount,parent,numChildren,pathName,children,alsoCount,also
0,root,0,95250,0,1,[],[1],0,[]
1,Pet Supplies,0,95250,0,56,['Pet Supplies'],"[2, 7, 8, 10, 42, 63, 87, 111, 143, 166, 189, 192, 197, 235, 263, 278, 282, 285, 287, 315, 330, 398, 404, 563, 564, 565, 573, 612, 613, 617, 636, 659, 677, 711, 785, 795, 807, 813, 886, 887, 907, 954, 968, 988, 1051, 1088, 1109, 1177, 1189, 1193, 1214, 1215, 1235, 1277, 1299, 1339]",0,[]
2,Dogs,567,57164,1,17,"['Pet Supplies', 'Dogs']","[3, 5, 12, 23, 25, 26, 32, 43, 46, 50, 53, 57, 61, 70, 83, 118, 505]",0,[]
3,Health Supplies,395,3595,2,14,"['Pet Supplies', 'Dogs', 'Health Supplies']","[4, 18, 29, 35, 72, 122, 123, 180, 219, 327, 329, 466, 528, 913]",0,[]
4,Hip & Joint Care,677,677,3,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Hip & Joint Care']",[],0,[]
5,Food,0,2992,2,5,"['Pet Supplies', 'Dogs', 'Food']","[6, 117, 140, 159, 767]",0,[]
6,Dry,1828,1829,5,1,"['Pet Supplies', 'Dogs', 'Food', 'Dry']",[1048],0,[]
7,Top Selection from AmazonPets,1266,1267,1,1,"['Pet Supplies', 'Top Selection from AmazonPets']",[716],0,[]
8,Cats,116,13976,1,16,"['Pet Supplies', 'Cats']","[9, 15, 20, 30, 54, 90, 104, 124, 145, 151, 154, 230, 247, 249, 492, 599]",0,[]
9,Grooming,159,1284,8,10,"['Pet Supplies', 'Cats', 'Grooming']","[133, 199, 215, 239, 347, 364, 367, 371, 411, 545]",0,[]
10,Fish & Aquatic Pets,121,11495,1,17,"['Pet Supplies', 'Fish & Aquatic Pets']","[11, 16, 45, 47, 49, 102, 161, 179, 220, 221, 253, 254, 260, 261, 284, 294, 430]",0,[]
11,Aquarium Dcor,118,1900,10,10,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Dcor']","[76, 86, 291, 303, 307, 316, 344, 350, 384, 1359]",0,[]
12,"Collars, Harnesses & Leashes",170,14066,2,6,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes']","[13, 37, 39, 67, 358, 468]",0,[]
13,ID Tags & Collar Accessories,125,1231,12,4,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'ID Tags & Collar Accessories']","[14, 335, 1239, 1404]",0,[]
14,Collar Charms,206,209,13,2,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'ID Tags & Collar Accessories', 'Collar Charms']","[1234, 1395]",0,[]
15,Memorials,169,169,8,0,"['Pet Supplies', 'Cats', 'Memorials']",[],0,[]
